date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:50	34356/34356	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2002:21:31%20GMT	https://epiruswallet.com/	C:/My%20Web%20Sites/wallet/epiruswallet.com/index.html	(from )
19:25:51	24/24	---M--	200	added ('OK')	text/plain	date:Mon,%2030%20Mar%202020%2023:55:22%20GMT	https://epiruswallet.com/robots.txt		(from )
19:25:53	1363564/1363564	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Feb%202020%2009:43:48%20GMT	https://epiruswallet.com/epirus/wp-content/cache/min/5/b88a4171e088a42594b6930e2be1d8ea.css	C:/My%20Web%20Sites/wallet/epiruswallet.com/epirus/wp-content/cache/min/5/b88a4171e088a42594b6930e2be1d8ea.css	(from https://epiruswallet.com/)
19:25:57	96866/96866	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2013%20Jun%202019%2011:43:02%20GMT	https://epiruswallet.com/epirus/wp-includes/js/jquery/jquery4a5f.js?ver=1.12.4-wp	C:/My%20Web%20Sites/wallet/epiruswallet.com/epirus/wp-includes/js/jquery/jquery4a5f4a5f.js	(from https://epiruswallet.com/)
19:26:00	232680/232680	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2012:48:28%20GMT	https://epiruswallet.com/epirus/wp-json/index.html	C:/My%20Web%20Sites/wallet/epiruswallet.com/epirus/wp-json/index.html	(from https://epiruswallet.com/)
19:26:01	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Tue,%2028%20Apr%202020%2012:48:28%20GMT	https://epiruswallet.com/epirus/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/wallet/epiruswallet.com/epirus/wp-includes/wlwmanifest.xml	(from https://epiruswallet.com/)
19:26:03	2293/2293	---M--	200	added ('OK')	application/json	date:Tue,%2028%20Apr%202020%2012:48:30%20GMT	https://epiruswallet.com/epirus/wp-json/oembed/1.0/embedd974.json?url=https%3A%2F%2Fdemo2.madrasthemes.com%2Ffront-demos%2Fcrypto%2F	C:/My%20Web%20Sites/wallet/epiruswallet.com/epirus/wp-json/oembed/1.0/embedd974d974.json	(from https://epiruswallet.com/)
19:26:05	2384/2384	---M--	200	added ('OK')	text/html	date:Tue,%2028%20Apr%202020%2012:48:32%20GMT	https://epiruswallet.com/epirus/wp-json/oembed/1.0/embed0a1f?url=https%3A%2F%2Fdemo2.madrasthemes.com%2Ffront-demos%2Fcrypto%2F&format=xml	C:/My%20Web%20Sites/wallet/epiruswallet.com/epirus/wp-json/oembed/1.0/embed0a1f0a1f.html	(from https://epiruswallet.com/)
19:26:08	2255/2255	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Jun%202020%2013:54:35%20GMT	https://epiruswallet.com/epirus3/images/favicon.png	C:/My%20Web%20Sites/wallet/epiruswallet.com/epirus3/images/favicon.png	(from https://epiruswallet.com/)
19:26:10	31045/31045	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2002:21:50%20GMT	https://epiruswallet.com/login	C:/My%20Web%20Sites/wallet/epiruswallet.com/login.html	(from https://epiruswallet.com/)
